name,brand,category,price,ingredients,url,type,store
Ocean Cleanser,Osea,all-cleansers,48.0,"Aqua, Algae Extract, Decyl Glucoside, Sorbitan Olivate, Sesamum Indicum Seed Oil, Simmondsia Chinensis Seed Oil, Magnesium Aluminum Silicate, Tocopherol, Citrus Aurantifolia Oil, Citrus Aurantium Dulcis Oil, Juniperus Communis Fruit Oil, Cupressus Sempervirens Seed Oil, Jasminum Officinale Oil, Lactic Acid, Xanthan Gum, Glycine, Potassium Sorbate, Chlorophyll Extract ORGANIC INGREDIENT",https://credobeauty.com//collections/all-cleansers/products/osea-ocean-cleanser,clean,Credo
Regenerating Cleanser,Tata Harper,all-cleansers,84.0,"aloe barbadensis leaf juice, cetearyl alcohol, cetearyl olivate, helianthus annuus seed oil, prunus armeniaca seed powder, sorbitan olivate, oryza sativa extract, lactobacillus, leuconostoc ferment filtrate, aqua, coco, cetearyl glucoside, kaolin, sclerotium gum, cetyl palmitate, salix alba bark extract, sorbitan palmitate, sodium phytate, ci77491, benzyl alcohol, aroma, benzyl benzoate, citral, citronellol, eugenol, geraniol, limonene, linalool",https://credobeauty.com//collections/all-cleansers/products/tata-harper-regenerating-cleanser,clean,Credo
Resurfacing Mask,Tata Harper,all-cleansers,65.0,"aloe barbadensis leaf juice, salix alba bark extract, sclerotium gum, aqua, lactobacillus ferment, maltooligosyl glucoside, lactobacillus, leuconostoc ferment filtrate, beta vulgaris, kaolin, hydrogenated starch hydrolysate, hydrolyzed corn starch, aroma, ci77491, sodium phytate, benzyl alcohol, citral, citronellol, eugenol, geraniol, limonene, linalool",https://credobeauty.com//collections/all-cleansers/products/tata-harper-resurfacing-mask,clean,Credo
Camellia and Rose Gentle Hydrating Cleanser,Pai,all-cleansers,50.0,"camellia, b, c & e, camellia oleifera seed oil, ricinus communis seed oil, prunus amygdalus dulcis oil, cetearyl alcohol, glycerin, butyrospermum parkii butter, cetearyl glucoside, sodium anisate, tocopherol, rosa damascena oil, pelargonium graveolens oil, sodium levulinate, lavandula officinalis flower oil, lactic acid, litsea cubeba fruit oil, glyceryl stearate citrate, sodium lauroyl lactylate, d, geraniol, linalool certified organic by the soil association, artificial fragrances, detergents, formaldehyde, parabens, phenoxyethanol and propylene glycol",https://credobeauty.com//collections/all-cleansers/products/camellia-rose-gentle-hydrating-cleanser,clean,Credo
Doctor's Scrub Exfoliator,Goldfaden M.D.,all-cleansers,75.0,"water, ruby crystals, simmondsia chinensis seed oil, cetyl alcohol, candelilla, glyceryl stearate, glycerin, sodium hyaluronate, squalane, cetearyl alcohol, magnesium aluminum silicate, sodium stearoyl lactylate, glyceryl caprylate, xanthan gum, phenoxyethanol, cellulose gum, ethylhexylglycerin, chondrus crispus extract, citrus paradisi peel oil, aspalathus linearis leaf extract",https://credobeauty.com//collections/all-cleansers/products/goldfaden-md-doctors-scrub-exfoliator,clean,Credo
Brightening Facial Scrub,Acure,all-cleansers,10.0,"water, aloe barbadensis leaf juice, glycerin, sodium methyl cocoyl taurate, juglans regia shell powder, kaolin, sodium lauroamphoacetate, citrus limon peel, sodium pca, sodium lauroyl lactylate, glyceryl laurate, sodium cocoyl isethionate, olea europaea fruit oil, laminaria digitata powder, lilium candidum leaf leaf culture extract, euterpe oleracea fruit extract, rubus fruticosus fruit extract, rosa canina fruit extract, punica granatum extract, calendula officinalis flower extract, chamomilla recutita flower extract, asphalatus linearis leaf extract, chlorophyll, chrondus crispus extract, argania spinosa callus culture extract, chlorella vulgaris extract, helianthus annuus seed oil, cymbopogon flexuosus leaf oil, mentha virdis leaf oil, salvia sclarea oil, lavandula hybrida oil, cellulose gum, sodium levulinate, glucono, potassium sorbate",https://credobeauty.com//collections/all-cleansers/products/acure-organics-brilliantly-brightening-facial-scrub,clean,Credo
Daily Brightening Tonic,January Labs,all-cleansers,28.0,"water, aloe, lactic acid, lemon peel extract, orange fruit extract, apple fruit extract, witch hazel, organic sugar, black tea leaf extract, oat kernel extract, sodium pca, organic chamomile extract, glycerin, clary extract",https://credobeauty.com//collections/all-cleansers/products/january-labs-daily-brightening-tonic,clean,Credo
PlantGenius Creamy Bubbling Cleanser,Alpyn Beauty,all-cleansers,36.0,"water, glycerin, sodium cocoyl isethionate, sodium hyaluronate, hamamelis virginiana leaf extract, stearic acid, myristic acid, sodium methyl cocoyl taurate, cetearyl alcohol, lactobacillus, polyacrylate, sodium cocoyl apple amino acids, dehydroacetic acid, benzyl alcohol, tromethamine, carica papaya fruit extract, potassium sorbate, lavandula angustifolia oil, citrus aurantium dulcis oil, eclipta prostrata extract, melia azadirachta leaf extract, moringa pterygosperma seed oil, glycolic acid, lactic acid, ascorbic acid, linoleic acid, simmondsia chinensis seed oil, salvia officinalis leaf extract, arnica montana flower extract, borago officinalis flower extract, calendula officinalis flower extract, chamomilla recutita flower extract, ceramide ng, alcohol",https://credobeauty.com//collections/all-cleansers/products/plantgenius-creamy-bubbling-cleanser,clean,Credo
Luminous Melting Cleanser,Goop,all-cleansers,90.0,"prunus amygdalus dulcis oil, olea europaea fruit oil, cocos nucifera oil, polyglyceryl, helianthus annuus seed wax, butyrospermum parkii butter, essential oil blend, lavandula angustifolia oil and citrus medica limonum oil, iris pallida leaf cell extract, narcissus poeticus flower extract, cetearyl alcohol, glyceryl stearate, jojoba esters, tocopherol, theobroma cacao seed butter",https://credobeauty.com//collections/all-cleansers/products/luminous-melting-cleanser,clean,Credo
Brightening Coconut Towelettes,Acure,all-cleansers,7.0,"water, glycerin, decyl glucoside, aloe barbadensis leaf juice, cocos nucifera water, cucumis sativus extract, argania spinosa kernal oil, glycine soja oil, polysorbate 20, fragrance, sodium benzoate, potassium sorbate",https://credobeauty.com//collections/all-cleansers/products/acure-organics-coconut-argan-oil-cleansing-towelettes,clean,Credo
