name,brand,category,price,ingredients
Fight Grime Cleanser,27 Rosiers,cleansers,"

          $39.00
        
","['Water/Eau/Aqua', 'Decyl Glucoside', 'Glycerin', 'Pentylene Glycol', 'Sodium Cocoyl Glutamate', 'Sorbitan Oleate Decylglucoside Crosspolymer', 'Moringa Oleifera Seed Extract', 'Withania Somnifera Root Extract', 'Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Calendula Flower Extract', 'Chamomilla Recutita Flower Extract', 'Fructose', 'Saccharide Isomerate', 'Glyceryl Caprylate/Caprate', 'Phytic Acid', 'Maltodextrin', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Sodium Hydroxide', 'Citric Acid', 'Potassium Sorbate', 'Sodium Benzoate', 'Fragrance/Parfum']"
Cleansing Perfection Foam,Patyka,cleansers,"

          $33.00
        
","['*Hordeum Vulgare Stem Water', 'Aqua (Water)', 'Coco Glucoside', 'Sodium Lauryl Glucose Carboxylate', 'Lauryl Glucoside', 'Apricot Kernel Oil Polyglyceryl-6 Esters', 'Parfum (Fragrance)', 'Betaine', 'Levulinic Acid', 'Cocamidopropyl Betaine', 'Citric Acid', 'Glycerin', 'Sodium Benzoate', 'Sodium Levulinate', 'Alpha-Glucan Oligosaccharide', 'Potassium Sorbate', 'Sorbic Acid', 'Vaccinium Myrtillus Fruit/Leaf Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Citrus Aurantium Dulcis (Orange) Fruit Extract', 'Citrus Medica Limonum (Lemon) Fruit Extract', 'Acer Saccharum (Sugar Maple) Extract', '*Malva Sylvestris (Mallow) Leaf Extract']"
The Clean Slate,La Bella Figura,cleansers,"

          $60.00
        
","['*theobroma grandiflorum (cupuacu) butter', '*Camellia Oleifera (Camellia) Seed Oil', '*Vitis Vinifera (Grape) Seed Oil', 'Cetearyl Olivate (and) Sorbitan Olivate (Wax Derived From Olives)', 'Decyl Glucoside (Plant Source)', '*Citrus Limon (Lemon) Kernel Oil', 'Coriandrum Sativum (Coriander) Seed Oil CO2', 'Vetiveria Zizanioides (Vetiver) Oil CO2', '*Citrus Aurantium Var. Amara (Orange) Blossom Extract', 'Arnica Montana (Flower) Extract CO2']"
COQ-10 Toner,Indie Lee,toners,"

          $34.00
        
","['Aqua', 'Aloe Vera Leaf Juice', 'Ubiquinone (Coenzyme Q10)', 'Sodium Hyaluronate (Hyaluronic Acid)', 'Chamomile', 'Sage', 'Papaya Leaf Extract', 'Cucumber Fruit Extract', 'Citrus Aurantium Flower Oil', 'Propanediol', 'Ethylhexylglycerin', 'Potassium Sorbate']"
Hydrating Accelerator,Josh Rosebrook,toners,"

          $35.00
        
","['*Aloe Vera Leaf Juice', '*Jojoba Oil', '*Marula Oil', '*Evening Primrose Oil', '*Hemp Seed Oil', '*Borage Oil', '*Sweet Almond Oil', '*Grape Seed Oil', '*Sesame Seed Oil', '*Seabuckthorn Essential Oil', '*Goji Fruit Extract', '*Ashwagandha', '*Calendula', '*Black Cohosh', '*Dandelion Extract', '*Fo Ti Root Extract', '*Alfalfa', '*Bilberry', '*Rosemary', 'Turmeric', '*Elderberry', '*Raspberry Leaf Extract', '*Burdock', '*Chamomile', '*Rose Hips', '*Eye Bright Herb Extract', '*Beet Root Extract', ""*St. John's Wort Extract"", '*Hawthorn Berry', '*Chickweed', '*Licorice Root Extract', '*Coriander', '*Horse Chestnut Extract', '*Lavender', '*Red Clover', '*Olive Leaf Extract', '*Sage Extract', '*Thyme', '*Vitamin E', '*Guar Gum Extract', '*Acacia Arabica Gum', '**Xanthan Gum', '**Potassium Sorbate', '*Vanilla Extract', '*Ylang Ylang Oil', '*Rosmarinus Officinalis Leaf (Rosemary Essential Oil)', '*Eucalyptus Leaf Oil', '*Bergamot Essential Oil', '*Carrot Seed Oil']"
Toning Mist: Balance + Prime,Follain,toners,"

          $18.00
        
","['Water/Aqua/Eau', 'Aloe Barbadensis Leaf Juice', '1,2-Hexanediol', 'Pentylene Glycol', 'Rosa Damascena Flower Water', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Rosa Canina Fruit Extract', 'Moringa Oleifera Leaf Extract', 'Ubiquinone (CoQ10)', 'Cryptomeria Japonica Branch/Leaf Extract', 'Macrocystis Pyrifera (Kelp) Extract', 'Glycerin', 'Citrus Limon (Lemon) Peel Extract', 'Butylene Glycol', 'Galactoarabinan', 'Sodium PCA', 'Tetrasodium Glutamate Diacetate', 'Sodium Benzoate', 'Xanthan Gum', 'Potassium Sorbate', 'Citric Acid']"
Essential Face Wipes – Bag of 20,Ursa Major,toners,"

          $24.00
        
","['*Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Water/Aqua/Eau', 'Leuconostoc/Radish Root Ferment Filtrate', 'Rosmarinus Officinalis (Rosemary) Leaf/ Flower Water', 'Salix Nigra (Willow) Bark Extract', '*Hamamelis Virginiana (Witch Hazel) Pulp Water', '*Glycerin', 'Sodium Hyaluronate', 'Levulinic Acid', 'Sodium Levulinate', 'Vaccinium Myrtillus (Bilberry) Fruit/Leaf Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Acer Saccharum (Sugar Maple) Extract', 'Citrus Aurantium Dulcis (Orange) Fruit Extract', 'Citrus Limon (Lemon) Fruit Extract', '*Oryza Sativa (Rice) Seed Extract', '*Camellia Sinensis (Green tea) Leaf Extract', 'Betula Alba (Birch) Sap', 'Lactobacillus/Arundinaria Gigantea (Bamboo)Ferment Filtrate', 'Caprylyl/Capryl Wheat Bran/Straw Glycosides', 'Fusel Wheat Bran/Straw Glycosides', 'Polyglyceryl-5 Oleate', 'Sodium Cocoyl Glutamate', 'Glyceryl Caprylate', 'Olea Europaea (Olive) Leaf Extract', '*Pseudotsuga Menziesii (Fir) Needle Oil', '*Lavandula Angustifolia (Lavender) Flower Oil', 'Rosmarinus Officinalis (Rosemary) Leaf Oil', '*Pelargonium Graveolens (Geranium) Leaf/Flower Oil', 'Boswellia Carterii (Frankincense) Resin Extract', 'Leuconostoc Ferment Filtrate', 'Propanediol', 'Soybean Peroxidase', 'Superoxide Dismutase', 'Citric Acid', 'Potassium Sorbate', 'Alcohol', 'Linalool', 'Citronellol', 'Geraniol', 'Limonene']"
4-in-1 Face Tonic,Ursa Major,toners,"

          $26.00
        
","['*Aloe Barbadensis Leaf Juice', 'Aqua/Water/Eau', 'Leuconostoc/Radish Root Ferment Filtrate', 'Salix Nigra (Willow) Bark Extract', 'Rosmarinus Officinalis (Rosemary) Leaf Water', '*Hamamelis virginiana leaf water', 'Glycerin', 'Sodium Hyaluronate', 'Levulinic Acid', 'Sodium Levulinate', 'Saccharum Officinarum (Sugar Cane) Extract', 'Citrus limon (lemon) fruit oil', 'Citrus Aurantium Dulcis (Orange) Fruit Extract', 'Vaccinium myrtillus fruit extract', 'Acer Saccharum (Sugar Maple) Extract', '*Camellia sinensis leaf extract', '*Oryza sativa (rice) extract', 'Betula alba juice', 'Lactobacillus/Arundinaria Gigantea Ferment Filtrate', 'Caprylyl/Capryl Wheat Bran/Straw Glycosides', 'Sodium Cocoyl Glutamate', 'Glyceryl Caprylate', 'Olea Europaea (Olive) Leaf Extract', '*Pseudotsuga menziesii branch/leaf oil', '*Lavandula angustifolia flower oil', 'Rosmarinus Officinalis Leaf Oil', '*Pelargonium graveolens leaf oil', 'Boswellia carterii resin extract', 'Alcohol', 'Propanediol', 'Leuconostoc Ferment Filtrate', 'Soybean Peroxidase', 'Superoxide Dismutase', 'Citric Acid', 'Potassium Sorbate', 'Linalool', 'Citronellol', 'Geraniol', 'Limonene']"
Bulgarian Rose Water,Tammy Fender,toners,"

          $65.00
        
","['*Rosa Centifolia (Rose) Flower Water', 'Rosa Damascene (Rose) Oil', 'Rosa Centifolia (Rose) Oil', 'Leuconostoc/Radish Root Ferment Filtrate', 'Lactobacillus', 'Cocos Nucifera (Coconut) Fruit Extract', 'Caprylyl/Capryl Glucoside']"
Jasmine Green Tea Balancing Toner,Herbivore Botanicals,toners,"

          $39.00
        
","['Jasminum Officinale (Jasmine) Flower Water', 'Aloe Barbadensis Leaf Water', 'Hamamelis Virginiana (Witch Hazel) Flower Water', 'Salix Alba (Willow) Bark Extract', 'Glycerin/Zingiber Officinale (Ginger) Root Extract', 'Leuconostoc/ (Leucidal) Radish Root Ferment Fillrate', 'Jasminum Grandiflorum (Jasmine) Flower Extract', 'Citrus Aurantium Bergamia (Bergamot) Fruit Oil', 'Camellia Sinensis leaf Extract (Green Tea)', 'Avena (Oat Avenanthramide) sativa Kernel Extract', 'Potassium Sorbate', 'Melia Azadirachta Leaf Extract']"
The Jasmine Garden,May Lindstrom,toners,"

          $70.00
        
","['Colloidal Silver', '*Hamamelis Virginiana (Witch Hazel) Water', 'Jasminum Grandiflorum (Jasmine) Flower Extract', 'Jasminum Officinale (Jasmine) Extract', '*Rosa Damascena (Bulgarian) Flower Oil', '*Cananga Odorata (Ylang-Ylang) Oil', '*Vanilla Planifolia Fruit Extract', 'Theobroma Cacao (Cocoa) Extract']"
Active Treatment Essence,Vintner's Daughter,toners,"

          $225.00
        
","['Aloe Barbadensis Leaf Juice (Aloe)', 'Malpighia Emarginata (Acerola) Fruit Extract', 'Moringa Oleifera Seed Extract', 'Althea Officinalis (Marshmallow) Root Extract', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Centella Asiatica (Gotu Kola) Extract', 'Urtica Dioica (Nettle) Leaf Extract', 'Ginkgo Biloba (Maidenhair Tree) Leaf Extract', 'Taraxacum Officinale (Dandelion) Root Extract', 'Helichrysum Italicum (Curry Plant) Extract', 'Camellia Sinensis (Green Tea) Leaf Extract', 'Medicago Sativa (Alfalfa) Leaf Extract', 'Astragalus Membranaceus (HuÃ¡Ng QÃ\xad) Root Extract', 'Verbascum Thapsus (Mullein) Flower/Stem/Leaf Extract', 'Bacillus Ferment', 'Lactic Acid', 'Arginine', '(Apple Cider) Vinegar', 'Avena Sativa (Oat) Bran Extract', 'Niacinamide (Vitamin B3)', 'Glycerin', 'Terminalia Ferdinandiana (Kakadu Plum) Extract', 'Cocos Nucifera (Coconut) Extract', 'Saccharide Isomerate', 'Pyrus Malus (Apple) Fruit Extract', 'Chlorella Vulgaris (Microalgae) Extract', 'Maltodextrin', 'Origanum Majorana (Marjoram) Leaf Extract', 'Gluconolactone', 'Muriella Aurantiaca (Microalgae) Oil', 'Lecithin', 'Ruttnera Lamellosa (Microalgae) Oil', 'Watanabea Reniformis Oil', 'Sodium Ascorbate', 'Papain (Papaya Enzyme)', 'Bromelain', 'Argemone Mexicana Callus (Poppy) Extract', ""Mirabilis Jalapa Callus (Four O'Clock Flower) Extract"", 'Polianthes Tuberosa Callus Extract', 'Sodium Phytate', 'Sodium Hydroxide', 'Levulinic Acid', 'Sodium Benzoate', 'Potassium Sorbate']"
Hydrating Tonic,Kari Gran,toners,"

          $38.00
        
","['*Aloe Barbadensis Miller (Aloe Vera Leaf)', '**Glycerin (Vegetable)', 'Lavandula Hybrida (Lavender) Oil or Rosa Damascena (Rose) Oil']"
Hydrating Floral Essence,Tata Harper,toners,"

          $94.00
        
","['Citrus Aurantium Amara (Neroli) Distillate', '*Lavandula Angustifolia (Lavender) Flower', '*Rosa Damascena Flower Water', 'Aqua/Water/Eau', 'Leuconostoc Ferment Filtrate', 'Propanediol', 'Sodium Hyaluronate', 'Calcium Ketogluconate', 'Anigozanthos Flavidus Extract', 'Banksia Serrata Flower Extract', 'Grevillea Speciosa Flower Extract', 'Saccharide Isomerate', 'Beta Vulgaris/Beet Root Extract/Extrait De Racine De Betterave', 'Glycerin', 'Sodium Phytate', 'Citric Acid', 'Phenethyl Alcohol', 'Sodium Citrate', 'Hydrolyzed Corn Starch', 'Alcohol']"
Vitamin D Moisture Mist,One Love Organics,toners,"

          $39.00
        
","['*Aloe Barbadensis Leaf Juice', 'Aqua/Water/Eau', 'Lactobacillus Ferment', 'Carthamus Tinctorius (Safflower) Oleosomes', 'Microcrystalline Cellulose', 'Glycerin', '*rhododendron ferrugineum extract', '*Lentinus Edodes Extract', '*Oryza Sativa (Rice) Extract', 'Rose Extract', 'Pelargonium Graveolens Oil', 'Caprylic/ Capric Triglyceride', 'Sodium Anisate', 'Levulinic Acid', 'Cellulose Gum', 'Sodium Levulinate', 'Sodium Phytate', 'Potassium Sorbate']"
Essential C Tonic,Tammy Fender,toners,"

          $55.00
        
","['*Lavandula Angustifolia (Lavender) Flower Water', 'Citrus Aurantium Bergamia (Bergamot) Peel Water', 'Aloe Barbadensis Leaf Juice (Aloe)', 'Citrus Bergamia Oil', 'Lavandula Angustifolia (Lavender) Oil', 'Glycerin', 'Iris Germanica Root Extract', 'Panax Ginseng Root Extract', 'Vitis Vinifera (Grape) Fruit Extract', 'Citrus Paradisi (Grapefruit) Fruit Extract', 'Ananas Sativus (Pineapple) Fruit Extract', 'Hibiscus Sabdariffa (Hibiscus) Flower Extract', 'Lavandula Hybrida Oil', 'Potassium Sorbate', 'Sodium Benzoate', 'Caprylyl/Capryl Glucoside']"
Ultra Hyaluronic Beauty Mist,Mychelle,toners,"

          $8.00
        
","['Water', 'Glycerin', 'Sodium Hyaluronate', 'Gluconolactone', 'Sodium Benzoate', 'Calcium Gluconate', 'Caprylyl/Capryl Glycosides', 'Sodium Cocoyl Glutamate', 'Polyglyceryl-5 Oleate', 'Glyceryl Caprylate', 'Citric Acid', 'Sodium Citrate', 'Potassium Sorbate', 'Sodium PCA', 'Aniba Rosaeodora Wood (Rosewood) Oil', 'Globularia Cordifolia Callus Culture Extract', 'Tripeptide-29', 'Opuntia Ficus-Indica Stem Extract', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Marrubium Vulgare Extract', 'Niacinamide (Vitamin B3)', 'Citrus Paradisi (Pink Grapefruit) Peel Oil', 'Jasminum Grandiflorum (Jasmine) Oil', 'Squalane Oil']"
Roman Chamomile Tonic,Tammy Fender,toners,"

          $60.00
        
","['*Anthemis Nobilis (Chamomile) Flower Water', 'Caprylyl/Capryl Glucoside', 'Potassium Sorbate', 'Sodium Benzoate']"
Moisturizer: Replenish + Protect,Follain,moisturizers,"

          $32.00
        
","['Water/Aqua/Eau', 'Glycerin', 'Aloe Barbadensis Leaf Juice', 'Rosa Damascena Flower Water', ' Simmondsia Chinensis (Jojoba) Seed Oil', 'Caprylic/Capric Triglyceride', 'Cetearyl Olivate', 'Pentylene Glycol', 'Dicaprylyl Ether', 'Butyrospermum Parkii (Shea) Butter', 'Glyceryl Stearate', 'Hydrogenated Vegetable Glycerides', 'Sorbitan Olivate', 'Cocos Nucifera (Coconut) Oil', 'Theobroma Cacao (Cocoa) Seed Butter', 'Palmitoyl Tripeptide-38', 'Bakuchiol', 'Sodium Hyaluronate', 'Moringa Oleifera Seed Oil', 'Rosa Canina Fruit Oil', 'Moringa Oleifera Leaf Extract', 'Squalane', 'Macrocystis Pyrifera (Kelp) Extract', 'Citrus Limon (Lemon) Peel Extract', 'Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire de Candelilla', 'Glyceryl Caprylate', 'Xanthan Gum', 'Sodium Hydroxide', 'Citric Acid', 'Caprylhydroxamic Acid', 'Olive Oil Decyl Esters', 'Hydroxypropyl Cyclodextrin', 'Tocopherol', 'Potassium Sorbate', 'Sodium Benzoate']"
Squalane Facial Oil,Indie Lee,moisturizers,"

          $34.00
        
",['Squalane Oil (Olive derived)']
Golden Hour Recovery Cream,Ursa Major,moisturizers,"

          $48.00
        
","['Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Helianthus Annuus (Sunflower) Seed Oil', 'Glyceryl Stearate Citrate', 'Cetearyl Alcohol', 'Leuconostoc/Radish Root Ferment Filtrate', 'Glycerin', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Galactoarabinan', 'Cetyl Palmitate', 'Undecylenic Glycerides', 'Octyldodecanol', 'Ribes Nigrum (Black Currant) Seed Oil', 'Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables', 'Cardiospermum Halicacabum Flower/Leaf/Vine Extract', 'Tocopherol', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract', 'Santalum Spicatum (Sandalwood) Wood Oil', '*Rosa Damascena (Rose) Flower Oil', 'Citrus Aurantium Amara (Neroli) Flower Oil', 'Cymbopogon Martinii (Palmarosa) Leaf Oil', 'Calendula Officinalis (Calendula) Flower Extract', 'Sodium Phytate', 'Sodium Anisate', 'Glyceryl Caprylate', 'Sclerotium Gum', 'Xanthan Gum', 'Alcohol', 'Citric Acid']"
Rosehip BioRegenerate Oil,Pai,moisturizers,"

          $44.00
        
","['*Rosa Canina Seed Extract - Rosehip Seed Extract', '*Rosa Canina Fruit Extract', 'Tocopherol - Natural Vitamin E', '*Rosmarinus Officinalis Leaf Extract']"
Active Botanical Serum,Vintner's Daughter,moisturizers,"

          $185.00
        
","['Vitis Vinifera (Grape) Seed Oil', 'Corylus Avellana (Hazelnut) Oil', 'Citrus Aurantium Var Bergamia (Bergamot) Peel Oil', 'Persea Americana (Avocado) Oil', 'Calendula Officinalis (Marigold)', 'Rose Damascena (Rose) Absolute', 'Daucus Carota (Carrot) Seed Oil', 'Oenothera Biennis (Evening Primrose) Oil', 'Rosa Rubignosa (Rosehip) Seed Oil', 'Citrus Limon (Lemon) Peel', 'Lavandula X Intermedia (Lavender) Flower', 'Medicago Sativa (Alfalfa) Extract', 'Urtica Dioica (Nettle) Leaf', 'Taraxacum Officinale (Dandelion) Leaf', 'Boswellia Carteri (Frankincense) Oil', 'Citrus Aurantium Var Amara (Neroil) Flower Oil', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Hippophae Rhamnoides (Sea Buckthorn) Fruit', 'Curcuma Longa (Tumeric) Root Oil,', 'Cupressus Se']"
Fortifying Face Balm,Ursa Major,moisturizers,"

          $36.00
        
","['*Aloe Barbadensis Leaf Juice', 'Aqua/Water/Eau', 'Glycerin', '*Helianthus annuus (sunflower) seed oil', 'Caprylic/Capric Triglyceride', 'Leuconostoc/Radish Root Ferment Filtrate', 'Hamamelis virginiana leaf water', 'Salix Nigra (Willow) Bark Extract', '*Aleurites moluccana seed oil', '*Hydrolyzed myrtus communis leaf extract', '*Opuntia ficus-indica stem extract', 'Daucus Carota Sativa (Carrot) Seed Oil', 'Hydrogenated Lecithin', 'Betula alba juice', 'Olea Europaea (Olive) Leaf Extract', '*Lavandula angustifolia (lavender) flower oil', 'Citrus Aurantifolia (Lime) Peel Oil', '*Melaleuca quinquenervia (niaouli) oil', 'Boswellia Carterii (Frankincense) Resin Extract', 'Bisabolol', 'Mentha Spicata (Spearmint)', 'Chondrus Crispus (Carrageenan)', 'Glucose', '*Rosmarinus officinalis (rosemary) leaf extract', 'Propanediol', 'Xanthan Gum', 'Sodium Anisate', 'Sclerotium Gum', 'Alcohol', 'Citric Acid', 'Sodium Benzoate', 'Potassium Sorbate', 'Limonene', 'Linalool', 'Citral']"
Vital Balm Cream,Josh Rosebrook,moisturizers,"

          $45.00
        
","['*Beeswax', '*Vanilla C02 Essential Oil', '*Calendula Extract', '*Aloe Vera Leaf Juice', '*Mango Seed Butter', '*Honey', '*Indian Senna Seed Extract (Botanical Hyaluronic Acid)', '*Shea Butter', '*Olive Fruit Oil', '*Avocado Oil', '*Jojoba Oil', '**Borage Seed Oil', '*Evening Primrose Oil', '*Sea Buckthorn Oil', '*Vitamin E', '*Broccoli Seed Oil', '*Witch Hazel', '*Ashwagandha', '*Turmeric', '*Rose Hip Seed Oil', '*Goji Fruit Extract', '*Black Cohosh', '*Elderberry', '*Bladderwrack', '*Marshmallow Root', '*Ginger Root', '*Fenugreek', '*Chickweed', '*Licorice Root Extract', '*Raspberry Leaf Extract', '*Dandelion Extract', '*Sage Extract', '*Eye Bright Herb Extract', '*Milk Thistle', '*Rose Blossoms', ""*St. John's Wort Extract"", '*Cats Claw', '*Cinnamon', '*Lavender', '*Ginkgo Leaf', '*Acacia Arabica Gum', 'Xanthan Gum', 'Potassium Sorbate', '*Blue Tansy Flower Oil', '*Ylang Ylang Oil', '*Lavender Oil']"
Intensive Repair Balm,Tammy Fender,moisturizers,"

          $130.00
        
","['*Helichrysum Italicum Flower Water', '*Rosa Centifolia (Rose) Flower Water', '*Calendula Officinalis (Marigold) Flower Water', 'Glycerin', 'Stearyl Olivate (Olive)', 'Silybum Marianum Ethyl Ester (Milk Thistle)', '*Helianthus Annuus (Sunflower) Seed Oil', 'Glyceryl Stearate', 'Rosa Mosqueta (Rosehip) Fruit Oil', 'Nucifera Nelumbo (Lotus) Leaf Wax', 'Castor Isostearate Succinate', 'Himanthalia Elongata (Brown Algae) Extract', 'Nasturtium Officinale (Watercress) Extract', 'Octyl Dodecanol (Olive)', 'Beeswax (Cera Alba)', '*Persea Gratissima, (Avocado) Oil', '*Anthemis Nobilis (Chamomile)', 'Helichrysum Italicum (Helichrysum) Oil', 'Lilium Candidum (White Lily) Flower Extract', 'Glycolipids', 'Lavandula Officinalis (Lavender) Oil', 'Glyceryl Polyacrylate', 'Cetearyl Alcohol', 'Sodium Lauroyl Lactylate', 'Lecithin', 'Ethylhexylglycerin', 'Sclerotium Gum (Mushroom)', 'Benzyl Alcohol', 'Tocopherol']"
Nutrient Day Cream SPF 30,Josh Rosebrook,moisturizers,"

          $85.00
        
","['*Aloe Vera Leaf Juice', '*Shea Butter', '*Evening Primrose Oil', '*Hemp Seed Oil', '*Jojoba Oil', '*Saponified Borage Oil', '*Sweet Almond Oil', 'Grape Seed Oil', '*Sesame Seed Oil', '*Seabuckthorn Essential Oil', 'Zinc Oxide', '*Soy Lecithin', '*Calendula Extract', '*Bilberry Fruit Extract', '*Chamomile', '*Burdock', '*Rosemary', '*Fennel Essential Oil', '*Dandelion Extract', '*Rose Hips', '*Catnip', '*Chickweed', '*Neem Leaf', '*Skullcap', '*Ginkgo Leaf', '*Linden Flower Extract', '*Hawthorn Berry', '*Green Tea', '*Flax', '*Nettle', '*Clary Sage', '*Marshmallow Root', '*Cayenne Pepper', '*Ginseng', '*Peppermint Essential Oil', ""*St. John's Wort Extract"", '*Alfalfa Extract', '*Vitamin E', '*Candelilla Wax', '*Guar Gum Extract', '*Acacia Arabica Gum', '**Xanthan Gum', '**Potassium Sorbate', '*Benzoin']"
Blemish Balm,OSEA,moisturizers,"

          $48.00
        
","['Aqua', '*Gigartina Skottsbergii Algae', '*Macrocystis Pyrifera Algae', '*Undaria Pinnatifida Extract', '*Vitis Vinifera (Grape) Seed Oil', 'Caprylic/ Capric Triglyceride', '*Glycerin', 'Propaediol', 'Cetearyl Olivate', '*Simmondsia Chinensis Oil (Jojoba Seed Oil)', 'Sorbitan Olivate', '*Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Saccharomyces/Copper Ferment', '*Rosmarinus Officinalis (Rosemary) Leaf Oil', 'Saccharomyces/Manganese Ferment', '*Lavandula Angustifolia (Lavender) Essential Oil', 'Saccharomyces/Zinc Ferment', '*Juniperus Communis (Juniper) Leaf Essential Oil', 'Glyceryl Stearate', 'Thymus Vulgaris Essential Oil', 'Cetearyl Alcohol', '*Cupressus Sempervirens (Cypress) Essential Oil', 'Stearic Acid', '*Citrus Grandis (Grapefruit) Peel Oil', 'Sodium Lauroyl Glutamate', 'Xanthan Gum', 'Guar Gum', 'Citric Acid', 'Lonicera Caprifolium Extract', 'Lonicera Japonica Extract']"
Chamomile & Rosehip Calming Day Cream,Pai,moisturizers,"

          $60.00
        
","['Aqua - Purified Water', '*Prunus Armeniaca Kernel Oil - Apricot Kernel Oil', '*Simmondsia Chinensis Seed Oil - Jojoba Oil', '*Carthamus Tinctorius Seed Oil', 'Lactobacillus Ferment - Skin Conditioner', 'Cetearyl Alcohol - Naturally Derived Emulsifier', 'Glycerin - Organic Derived Vegetable Glycerine', 'Rosa Canina Seed Extract - Rosehip Seed Extract', '*Butyrospermum Parkii Butter', '*Citrus Aurantium Dulcis Fruit Water - Orange Fruit Water', 'Cetearyl Glucoside - Naturally Derived Emulsifier', '*Chamomilla Recutita (Matricaria) Flower Extract', 'Leptospermum Scoparium Branch/Leaf Oil - Manuka Oil', 'Sodium Levulinate -Naturally Derived Preservative', 'Tocopherol - Natural Vitamin E', '*Lavandula Angustifolia Oil', 'Sodium Anisate -Naturally Derived Preservative', '*Pelargonium Graveolens Oil', 'Lactic Acid - Ph Regulator', 'Sodium Stearoyl Glutamate - Naturally Derived Emulsifier', '*Rosmarinus Officinalis Leaf Extract', '**Citronellol', '**Geraniol', '**Linalool']"
Skin Food Original Ultra-Rich Moisturizer,Weleda,moisturizers,"

          $19.00
        
","['Aqua', 'Helianthus Annuus Seed Oil', 'Lanolin', 'Prunus Amygdalus Dulcis Oil', 'Cera Alba', 'Alcohol', 'Fatty Acid Ester', 'Glycerin', 'Limonene', 'Viola Tricolor Extract', 'Hydrolyzed Beeswax', 'Sorbitan Olivate', 'Rosmarinus Officinalis Leaf Extract', 'Chamomilla Recutita Flower Extract', 'Calendula Officianalis Extract', 'Arginine', 'Zinc Sulfate', '*Parfum', '*Linalool', '*Geraniol', '*Citral', '*Coumarin']"
Atmosphere Protection Cream,OSEA,moisturizers,"

          $48.00
        
","['Aqua', '*Algae Extract', 'Coco Caprylate/Caprate', '*Macadamia Ternifolia (Macadamia) Seed Oil', 'Sorbitan Olivate', 'Cetearyl Glucoside', '*Butyrospermum Parkii (Shea Butter)', '*Simmondsia Chinensis (Jojoba) Seed Oil', '*Persea Gratissima Oil (Avocado Oil)', 'Tocopherol (Vitamin E/Vitamine E)', '*Calendula Officinalis Extract', 'L-lysine Lauroyl Methionate', 'Xanthan Gum', 'Laminaria Digitata Extract', '*Chamomilla Recutita Flower Extract', '*Lavandula Angustifolia (Lavender) Oil', '*Pelargonium (Geranium) Gravolens', 'Magnesium Aluminum Silicate', 'Citrus Grandis (Grapefruit) Peel Oil', 'Potassium Sorbate', 'Glycine']"
Skin Food Light Nourishing Cream,Weleda,moisturizers,"

          $19.00
        
","['Aqua', '(Sunflower) Helianthus Annuus Seed Oil', 'Glycerin', 'Alcohol', 'Glyceryl Stearate Citrate', 'Cera Alba', 'Theobroma Cacao Seed Butter', 'Cetearyl Alcohol', 'Butyrospermum Parkii Butter', 'Viola Tricolor Extract', 'Rosmarinus Officinalis Leaf Extract', 'Chamomilla Recutita Flower Extract', 'Calendula Officinalis (Calendula) Flower Extract', 'Lanolin', 'Carrageenan', 'Xanthan Gum', 'Lactic Acid', 'Glyceryl Caprylate', '*Parfum', '*Linalool', '*Geraniol', '*Citral']"
Daily Sheer Facial Sunscreen SPF 40 – Fragrance Free,Babo Botanicals,moisturizers,"

          $21.00
        
","['Titanium Dioxide', 'Zinc Oxide', '*Aloe Vera Leaf Juice', 'Rose Hip Fruit Oil', 'Green Tea', '*Sunflower Seed Oil', 'Myristyl Alcohol', 'Myristyl Glucoside', 'Cetearyl Alcohol', 'Coco Glucoside', 'Wheat Protein, Hydrolyzed', 'Hydrogenated Glyceryl Abietate', '*Castor Oil', '*Beeswax', 'Persea Gratissima Oil (Avocado Oil)', 'Phenethyl Alcohol', 'Ethylhexylglycerin', 'Pongamia Pinnata Seed Oil', '*Shea Butter', '*Jojoba Oil', 'Hydroxyethyl Acrylate', 'Sodium Acryloyl Dimethyl Taurate Copolymer', 'Glycerin', 'White Tea Extract', 'Rose Flower Extract', 'Triethoxycaprylylsilane', 'Aluminum Hydroxide', 'Hydrogen Dimethicone', 'Dehydroxanthan Gum']"
Three Sixty Five SPF 28,Kari Gran,moisturizers,"

          $48.00
        
","['Non-Nano Zinc Oxide', 'Red Raspberry Seed Oil', 'Plum Oil', '*Macadamia Nut Oil', 'Kukui Nut Oil', '*Avocado Oil', '*Jojoba Oil', '*Beeswax', 'Tocopherol']"
