name,brand,category,price,ingredients
Oat Cleansing Facial Polish,Naturopathica,cleansers,"

          $62.00
        
","['Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Helianthus Annuus (Sunflower) Seed Oil', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Simmondsia Chinensis (Jojoba) Wax Beads', 'Avena Sativa (Oat) Flour', 'Lactobacillus Ferment', 'Sesamun Indicum (Sesame) Seed Oil', 'Glycerin', 'Arachidyl Alcohol', 'Behenyl Alcohol', 'Arachidyl Glucoside', 'Water/Aqua/Eau', 'Avena Sativa (Oat) Extract', 'Triticum Vulgare (Wheat) Germ Oil', 'Chitin', 'Beta Glucan', 'Glyceryl Caprylate', 'Sclerotium Gum', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'P-Anisic Acid', 'Lavandula Angustifolia (Lavender) Flower Oil', 'Rosa Damascena (Rose) Flower Oil', 'Nardostachys Chinensis (Spikenard) Root Oil', 'Cananga Odorata (Ylang Ylang) Flower Oil', 'Xanthan Gum', 'Phenethyl Alcohol']"
Aloe Cleansing Gel,Naturopathica,cleansers,"

          $38.00
        
","['*Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Decyl Glucoside', 'Sodium Cocoyl Glutamate', 'Glycerin', 'Lavandula Angustifolia (Lavender) Flower Water', 'Xylitylglucoside', 'Anhydroxylitol', 'Xylitol', 'Lactobacillus Ferment', 'Sclerotium Gum', 'Coco-Glucoside', 'Glyceryl Oleate', 'Avena Sativa (Oat) Extract', '*Lavandula Angustifolia (Lavender) Flower Oil', '*Rosa Damascena (Rose) Flower Oil', 'Lavandula Burnati (Lavandin) Flower/Leaf Oil', 'Cananga Odorata (Ylang Ylang) Flower Oil', 'Potassium Sorbate', 'Water/Aqua/Eau', 'Citric Acid']"
Hydrating Cleanser: Purify + Nourish,Follain,cleansers,"

          $22.00
        
","['Water/Aqua/Eau', 'Glycerin', 'Potassium Cocoyl Glycinate', 'Glyceryl Caprylate/Caprate', 'Decyl Glucoside', 'Potassium Cocoate', '1,2-Hexanediol', 'Salix Nigra (Willow) Bark Extract', 'Rosa Canina Fruit Oil', 'Camellia Sinensis Leaf Extract', 'Moringa Oleifera Leaf Extract', 'Macrocystis Pyrifera (Kelp) Extract', 'Citrus Reticulata (Tangerine) Peel Oil', 'Citrus Paradisi (Grapefruit) Peel Oil', 'Citric Acid', 'Glyceryl Caprylate', 'Xanthan Gum', 'Ethylhexylglycerin', 'Sodium Gluconate', 'Cocamide MIPA', 'Caprylhydroxamic Acid', 'Citrus Limon (Lemon) Peel Extract', 'Potassium Sorbate', 'Sodium Benzoate']"
Ocean Cleansing Mudd,OSEA,cleansers,"

          $48.00
        
","['Aqua', '*Macrocystis Pyrifera Algae', 'Decyl Glucoside', 'Sodium Lauroyl Oat Amino Acids', '*Fucus Vesiculosus Extract', 'Laminaria Digitata Extract', 'Coco Glucoside', 'Coconut Alcohol', 'Sorbitan Olivate', '*Simmondsia Chinensis Oil (Jojoba) Seed Oil', '*Carthamus Tinctorius (Safflower) Seed Oil', '*Melaleuca Alternifolia (Tea Tree) Essential Oil', '*Rosmarinus Officinalis Leaf (Rosemary Essential Oil)', 'Salvia Officinalis (Sage) Essential Oil', '*Lavandula Angustifolia (Lavender) Essential Oil', 'Mentha Piperita (Peppermint) Essential Oil', '*Cupressus Sempervirens (Cypress) Essential Oil', 'Tocopherol', 'Vaccinium Myrtillus (Bilberry) Extract', 'Citrus Aurantium Dulcis (Orange) Fruit Extract', 'Citrus Medica Limonium (Lemon) Fruit Extract', 'Acer Saccharinum (Sugar Maple) Extract', 'Magnesium Aluminum Silicate', 'Xanthan Gum', 'Potassium Sorbate', 'Lonicera Caprifolium Extract']"
Camellia & Rose Gentle Hydrating Cleanser,Pai,cleansers,"

          $50.00
        
","['Aqua - Purified Water', '*Camellia Oleifera Seed Oil', '*Ricinus Communis Seed Oil - Castor Oil', '*Prunus Amygdalus Dulcis Oil', 'Lactobacillus Ferment - Naturally Derived Preservative', 'Cetearyl Alcohol - Naturally Derived Emulsifier', 'Glycerin - Organic Derived Vegetable Glycerine', '*Butyrospermum Parkii Butter', 'Cetearyl Glucoside - Naturally Derived Emulsifier', 'Tocopherol - Natural Vitamin E', 'Rosa Damascena Oil - Rose Oil', '*Pelargonium Graveolens Oil', 'Sodium Levulinate - Naturally Derived Preservative', '*Lavandula Augustifolia Oil - Lavender Oil', 'Lactic Acid - Ph Regulator', 'Litsea Cubeba Oil - May Chang Oil', 'Sodium Stearoyl Glutamate - Naturally Derived Emulsifier', 'Sodium Anisate - Naturally derived Preservative', '**Citral', '**Citronellol', '**d-Limonene', '**Geraniol', '**Linalool']"
Ocean Cleansing Milk,OSEA,cleansers,"

          $54.00
        
","['Aqua', '*Algae Extract', '*Carthamus Tinctorius (Safflower) Seed Oil', 'Coco Caprylate/Caprate', 'Sodium Lauroyl Oat Amino Acids', 'Disodium Cocoyl Glutamate', 'Sorbitan Olivate', 'Decyl Glucoside', '*Glycerin', 'Dipalmitoyl Hydroxyproline (Amino Acid Compound)', 'Capryloyl Glycine', 'Acacia Farnesiana (Cassie Flower) Flower Wax', 'Rosa Centifolia (Rose) Flower Wax', 'Sodium Palmitoyl', 'Water Lily Extract', 'Undecylenoyl Glycine', 'Magnesium Ascorbyl Phosphate', 'Hamamelis Virginiana (Witch Hazel)', 'Anthemis Nobilis (Chamomile) Flower Extract', '*Rosmarinus Officinalis Leaf (Rosemary Essential Oil)', '*Chondrus Crispus', 'Xanthan Gum', 'Glycine', 'Potassium Sorbate']"
The Cleansing Sponge – Rose Clay,One Love Organics,cleansers,"

          $10.00
        
","['Konjac-Mannan Plant Fiber (Glucomannan)', 'kaolin-illitee (pink clay)']"
Light Work Rosehip Cleansing Oil,Pai,cleansers,"

          $56.00
        
","['*Olea Europaea (Olive) Fruit Oil', '*Helianthus Annuus (Sunflower) Seed Oil', 'Polyglyceryl-4 Oleate', '*Ricinus Communis (Castor) Seed Oil', '*Rosa Canina (Rosehip) Fruit Extract', '*Jasminum Grandiflorum (Jasmine) Flower Extract', '*Citrus Aurantifolia (Lime) Peel Oil', '*Citrus Aurantium Dulcis (Orange) Peel Oil', '*Pelargonium Graveolens Oil', '*Ocimum Basilicum (Basil) Oil', 'Tocopherol', '*Rosmarinus Officinalis (Rosemary) Leaf Extract', '**Limonene', '**Citronellol', '**Geraniol', '**Citral', '**Linalool']"
Charcoal Bar Soap,Herbivore Botanicals,cleansers,"

          $12.00
        
","['Saponified Oils Of Cocos Nucifera (Coconut) Oil', 'Olea Europaea (Olive) Fruit Oil', 'Elaeis Guineensis (Sustainable Palm) Oil', 'Tocopherol (Vitamin E/Vitamine E)', 'Kaolinite (White Clay)', 'Activated Bamboo Charcoal', 'Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Citrus Bergamia (Bergamot) Essential Oil']"
The Cleansing Sponge – Charcoal,One Love Organics,cleansers,"

          $10.00
        
","['Konjac-Mannan Plant Fiber (Glucomannan)', 'Bamboo Charcoal']"
